"date","sero_pos_15_19","sero_tot_15_19","sero_pos_20_29","sero_tot_20_29","sero_pos_30_39","sero_tot_30_39","sero_pos_40_49","sero_tot_40_49","sero_pos_50_plus","sero_tot_50_plus","sero_pos_over15","sero_tot_over15"
2020-11-18,2,39,9,74,6,29,5,19,4,31,26,192
2020-11-25,7,58,5,55,3,36,3,23,3,28,21,200
2020-12-02,1,88,5,102,0,53,1,38,2,35,9,316
2020-12-09,5,86,6,86,3,59,2,33,6,65,22,329
2020-12-16,4,78,5,100,1,48,3,33,3,36,16,295
2020-12-23,6,95,11,113,4,68,3,36,4,41,28,353
2020-12-30,4,59,5,75,1,32,0,18,0,25,10,209
2021-01-06,2,48,4,49,4,30,5,23,3,27,18,177
2021-01-27,7,53,15,79,13,50,3,20,8,37,46,239
2021-02-03,10,42,17,65,8,25,7,19,6,21,48,172
2021-02-10,14,63,37,99,13,48,8,28,16,55,88,293
2021-02-17,12,51,20,65,19,34,10,20,12,35,73,205
2021-02-24,5,8,5,9,1,2,2,3,0,1,13,23
2021-06-23,8,39,8,31,4,19,5,18,12,32,37,139
2021-06-30,5,12,4,16,2,9,2,12,7,12,20,61
2021-07-07,12,26,14,36,3,18,5,12,15,33,49,125
2021-07-14,32,58,25,63,13,31,10,24,26,60,106,236
2021-07-21,18,36,12,33,9,20,7,17,15,25,61,131
2021-07-28,15,33,17,40,13,29,13,20,24,39,82,161
